id,price,location,type
1237068,260000.0,mellieħa,penthouse
1237069,225000.0,mellieħa,maisonette
1237070,350000.0,mellieħa,maisonette
1237072,250000.0,mellieħa,penthouse
1237073,522000.0,mellieħa,villa
1237074,410000.0,mellieħa,house
1237075,515000.0,mellieħa,house
1237076,245000.0,mellieħa,apartment
1237077,154000.0,mellieħa,apartment
1237078,535000.0,mellieħa,apartment
1237089,150000.0,mosta,apartment
1237090,225000.0,mosta,maisonette
1237091,650000.0,mosta,villa
1237092,220000.0,mosta,apartment
1237093,260000.0,mosta,penthouse
1237094,370000.0,mosta,house
1237095,260000.0,mosta,penthouse
1237096,225000.0,mosta,maisonette
1237097,250000.0,mosta,apartment
1237098,225000.0,mosta,maisonette
1237099,225000.0,mosta,maisonette
1237100,499000.0,mosta,penthouse
1237101,220000.0,mosta,apartment
1237103,270000.0,mosta,maisonette
1237104,320000.0,mosta,maisonette
1237106,178000.0,mosta,apartment
1237107,370000.0,mosta,house
1237108,532000.0,mosta,house
1237109,195000.0,mosta,apartment
1237110,189000.0,mosta,apartment
1237111,270000.0,mosta,penthouse
1237113,175000.0,mosta,apartment
1237114,200000.0,mosta,apartment
1237115,525000.0,mosta,house
1237116,150000.0,mosta,apartment
1237123,160000.0,msida,apartment
1237125,380000.0,msida,house
1237126,260000.0,msida,apartment
1237127,175000.0,msida,apartment
1237128,157000.0,msida,apartment
1237129,250000.0,msida,apartment
1237130,215000.0,msida,apartment
1237131,380000.0,msida,house
1237132,230000.0,naxxar,apartment
1237133,245000.0,naxxar,apartment
1237134,370000.0,naxxar,house
1237135,215000.0,naxxar,apartment
1237136,245000.0,naxxar,apartment
1237137,220000.0,naxxar,apartment
1237138,740000.0,naxxar,house
1237139,360000.0,naxxar,house
1237140,225000.0,naxxar,apartment
1237141,230000.0,naxxar,apartment
1237142,530000.0,naxxar,villa
1237143,750000.0,naxxar,house
1237144,500000.0,naxxar,house
1237145,245000.0,naxxar,apartment
1237146,250000.0,naxxar,apartment
1237147,230000.0,naxxar,apartment
1237148,189000.0,naxxar,apartment
1237149,260000.0,naxxar,penthouse
1237150,220000.0,naxxar,apartment
1237156,470000.0,st julians,apartment
1237157,151000.0,pietà,apartment
1237158,147700.0,pietà,apartment
1237159,270000.0,pietà,apartment
1237160,185000.0,pietà,apartment
1237161,135000.0,pietà,maisonette
1237162,180000.0,pietà,apartment
1237163,235000.0,qawra,penthouse
1237164,295000.0,qawra,apartment
1237165,212000.0,qawra,maisonette
1237166,158000.0,qawra,apartment
1237167,165000.0,qawra,apartment
1237168,189000.0,qawra,apartment
1237169,150000.0,qawra,apartment
1237170,149000.0,qawra,apartment
1237171,148000.0,qawra,apartment
1237172,260000.0,qawra,penthouse
1237173,190000.0,qawra,apartment
1237174,145000.0,qawra,apartment
1237175,250000.0,qawra,apartment
1237176,189000.0,qawra,apartment
1237177,215000.0,qormi,apartment
1237178,370000.0,qormi,house
1237179,245000.0,qormi,penthouse
1237180,230000.0,qormi,house
1237181,405000.0,qormi,house
1237197,170000.0,isla,house
1237198,600000.0,isla,house
1237199,180000.0,isla,apartment
1237200,350000.0,isla,house
1237213,379000.0,sliema,flat
1237214,1200000.0,sliema,apartment
1237215,725000.0,sliema,apartment
1237217,430000.0,sliema,apartment
1237218,425000.0,sliema,apartment
1237219,520000.0,sliema,apartment
1237220,285000.0,sliema,apartment
1237221,189000.0,sliema,apartment
1237222,1450000.0,sliema,apartment
1237223,260000.0,sliema,penthouse
1237224,370000.0,sliema,house
1237225,485000.0,sliema,apartment
1237226,535000.0,sliema,apartment
1237227,1275000.0,sliema,house
1237228,895000.0,sliema,house
1237229,370000.0,sliema,house
1237230,270000.0,sliema,apartment
1237231,260000.0,sliema,penthouse
1237232,189000.0,sliema,apartment
1237233,499000.0,sliema,penthouse
1237234,495000.0,sliema,apartment
1237235,305000.0,sliema,apartment
1237236,340000.0,sliema,apartment
1237237,117000.0,sliema,maisonette
1237238,225000.0,sliema,maisonette
1237239,180000.0,sliema,apartment
